t,whenRes,ms.x,ms.v,ms.a
1.200000,4,544.000000,0.000000,0.000000
1.220000,4,544.618600,92.790000,9279.000000
1.240000,4,548.948800,371.160000,18558.000000
1.260000,4,560.702200,835.110000,27837.000000
1.280000,8,583.590400,1484.640000,37116.000000
1.300000,8,620.706400,2226.960000,37116.000000
1.320000,8,672.668800,2969.280000,37116.000000
1.340000,8,739.477600,3711.600000,37116.000000
1.360000,12,820.900825,4407.525000,30930.000000
1.380000,12,914.687458,4943.645000,22682.000000
1.400000,12,1017.546892,5314.805000,14434.000000
1.420000,12,1126.179925,5521.005000,6186.000000
1.440000,16,1237.295950,5567.400000,0.000000
1.460000,16,1348.643950,5567.400000,0.000000
1.480000,16,1459.991950,5567.400000,0.000000
1.500000,20,1571.339761,5567.045456,-444.284375
1.520000,20,1682.220654,5502.485769,-6011.684375
1.540000,20,1790.696872,5326.578081,-11579.084375
1.560000,20,1894.541457,5039.322394,-17146.484375
1.580000,20,1991.527448,4640.718706,-22713.884375
1.600000,24,2079.428074,4131.121562,-27837.000000
1.620000,24,2156.483105,3574.381562,-27837.000000
1.640000,24,2222.403336,3017.641562,-27837.000000
1.660000,24,2277.188768,2460.901562,-27837.000000
1.680000,24,2320.839399,1904.161562,-27837.000000
1.700000,28,2353.367334,1352.926645,-26167.786932
1.720000,28,2375.529728,880.183633,-21106.514205
1.740000,28,2389.249516,508.666077,-16045.241477
1.760000,28,2396.551207,238.373974,-10983.968750
1.780000,28,2399.459311,69.307327,-5922.696023
1.800000,28,2399.998336,1.466133,-861.423295
1.820000,0,2400.000000,0.000000,0.000000
