t,whenRes,ms.x,ms.v,ms.a
0.000000,4,0.000000,0.000000,0.000000
0.020000,4,0.133333,20.000000,2000.000000
0.040000,4,1.066667,80.000000,4000.000000
0.060000,4,3.600000,180.000000,6000.000000
0.080000,4,8.533333,320.000000,8000.000000
0.100000,8,16.666667,500.000000,10000.000000
0.120000,8,28.666667,700.000000,10000.000000
0.140000,8,44.666667,900.000000,10000.000000
0.160000,8,64.666667,1100.000000,10000.000000
0.180000,8,88.666667,1300.000000,10000.000000
0.200000,8,116.666667,1500.000000,10000.000000
0.220000,12,148.533333,1680.000000,8000.000000
0.240000,12,183.600000,1820.000000,6000.000000
0.260000,12,221.066667,1920.000000,4000.000000
0.280000,12,260.133333,1980.000000,2000.000000
0.300000,12,300.000000,2000.000000,0.000000
0.320000,16,340.000000,2000.000000,0.000000
0.340000,16,380.000000,2000.000000,0.000000
0.360000,16,420.000000,2000.000000,0.000000
0.380000,16,460.000000,2000.000000,0.000000
0.400000,20,500.000000,2000.000000,0.000000
0.420000,20,539.866667,1980.000000,-2000.000000
0.440000,20,578.933333,1920.000000,-4000.000000
0.460000,20,616.400000,1820.000000,-6000.000000
0.480000,20,651.466667,1680.000000,-8000.000000
0.500000,24,683.333333,1500.000000,-10000.000000
0.520000,24,711.333333,1300.000000,-10000.000000
0.540000,24,735.333333,1100.000000,-10000.000000
0.560000,24,755.333333,900.000000,-10000.000000
0.580000,24,771.333333,700.000000,-10000.000000
0.600000,28,783.333333,500.000000,-10000.000000
0.620000,28,791.466667,320.000000,-8000.000000
0.640000,28,796.400000,180.000000,-6000.000000
0.660000,28,798.933333,80.000000,-4000.000000
0.680000,28,799.866667,20.000000,-2000.000000
0.700000,0,800.000000,0.000000,0.000000
