t,whenRes,ms.x,ms.v,ms.a
1.200000,4,2400.000000,0.000000,0.000000
1.220000,4,2399.835040,24.744000,2474.400000
1.240000,4,2398.680320,98.976000,4948.800000
1.260000,4,2395.546080,222.696000,7423.200000
1.280000,4,2389.442560,395.904000,9897.600000
1.300000,8,2379.380000,618.600000,12372.000000
1.320000,8,2364.533600,866.040000,12372.000000
1.340000,8,2344.738400,1113.480000,12372.000000
1.360000,8,2319.994400,1360.920000,12372.000000
1.380000,12,2290.303318,1607.329000,11959.600000
1.400000,12,2255.874792,1830.025000,10310.000000
1.420000,12,2217.322265,2019.729000,8660.400000
1.440000,12,2175.305578,2176.441000,7010.800000
1.460000,12,2130.484572,2300.161000,5361.200000
1.480000,12,2083.519085,2390.889000,3711.600000
1.500000,12,2035.068958,2448.625000,2062.000000
1.520000,12,1985.794032,2473.369000,412.400000
1.540000,16,1936.307750,2474.400000,0.000000
1.560000,16,1886.819750,2474.400000,0.000000
1.580000,16,1837.331750,2474.400000,0.000000
1.600000,16,1787.843750,2474.400000,0.000000
1.620000,16,1738.355750,2474.400000,0.000000
1.640000,16,1688.867750,2474.400000,0.000000
1.660000,16,1639.379750,2474.400000,0.000000
1.680000,16,1589.891750,2474.400000,0.000000
1.700000,16,1540.403750,2474.400000,0.000000
1.720000,16,1490.915750,2474.400000,0.000000
1.740000,16,1441.427750,2474.400000,0.000000
1.760000,16,1391.939750,2474.400000,0.000000
1.780000,16,1342.451750,2474.400000,0.000000
1.800000,16,1292.963750,2474.400000,0.000000
1.820000,16,1243.475750,2474.400000,0.000000
1.840000,16,1193.987750,2474.400000,0.000000
1.860000,20,1144.507571,2472.152550,-430.545833
1.880000,20,1095.205616,2455.293633,-1255.345833
1.900000,20,1046.405799,2421.938716,-2080.145833
1.920000,20,998.438041,2372.087800,-2904.945833
1.940000,20,951.632261,2305.740883,-3729.745833
1.960000,20,906.318379,2222.897966,-4554.545833
1.980000,20,862.826315,2123.559050,-5379.345833
2.000000,20,821.485990,2007.724133,-6204.145833
2.020000,20,782.627323,1875.393216,-7028.945833
2.040000,20,746.580235,1726.566300,-7853.745833
2.060000,24,713.666823,1563.490833,-8248.000000
2.080000,24,684.046607,1398.530833,-8248.000000
2.100000,24,657.725590,1233.570833,-8248.000000
2.120000,24,634.703773,1068.610833,-8248.000000
2.140000,28,614.960917,907.583377,-7738.603333
2.160000,28,598.312981,759.409710,-7078.763333
2.180000,28,584.496550,624.432844,-6418.923333
2.200000,28,573.247689,502.652777,-5759.083333
2.220000,28,564.302460,394.069510,-5099.243333
2.240000,28,557.396930,298.683044,-4439.403333
2.260000,28,552.267160,216.493377,-3779.563333
2.280000,28,548.649216,147.500510,-3119.723333
2.300000,28,546.279161,91.704444,-2459.883333
2.320000,28,544.893059,49.105177,-1800.043333
2.340000,28,544.226975,19.702710,-1140.203333
2.360000,28,544.016972,3.497044,-480.363333
2.380000,0,544.000000,0.000000,0.000000
