t,whenRes,ms.x,ms.v,ms.a
1.200000,4,2400.000000,0.000000,0.000000
1.220000,4,2399.793800,30.930000,3093.000000
1.240000,4,2398.350400,123.720000,6186.000000
1.260000,4,2394.432600,278.370000,9279.000000
1.280000,8,2386.803200,494.880000,12372.000000
1.300000,8,2374.431200,742.320000,12372.000000
1.320000,12,2357.114247,987.668139,11613.631770
1.340000,12,2335.221447,1192.447441,8864.298437
1.360000,12,2309.782927,1342.240076,6114.965103
1.380000,12,2281.898421,1437.046045,3365.631770
1.400000,12,2252.667663,1476.865347,616.298437
1.420000,16,2223.104790,1478.246859,0.000000
1.440000,16,2193.539853,1478.246859,0.000000
1.460000,16,2163.974916,1478.246859,0.000000
1.480000,16,2134.409979,1478.246859,0.000000
1.500000,16,2104.845042,1478.246859,0.000000
1.520000,16,2075.280104,1478.246859,0.000000
1.540000,16,2045.715167,1478.246859,0.000000
1.560000,16,2016.150230,1478.246859,0.000000
1.580000,16,1986.585293,1478.246859,0.000000
1.600000,16,1957.020356,1478.246859,0.000000
1.620000,16,1927.455418,1478.246859,0.000000
1.640000,16,1897.890481,1478.246859,0.000000
1.660000,16,1868.325544,1478.246859,0.000000
1.680000,16,1838.760607,1478.246859,0.000000
1.700000,16,1809.195670,1478.246859,0.000000
1.720000,16,1779.630732,1478.246859,0.000000
1.740000,16,1750.065795,1478.246859,0.000000
1.760000,16,1720.500858,1478.246859,0.000000
1.780000,16,1690.935921,1478.246859,0.000000
1.800000,16,1661.370984,1478.246859,0.000000
1.820000,16,1631.806047,1478.246859,0.000000
1.840000,16,1602.241109,1478.246859,0.000000
1.860000,16,1572.676172,1478.246859,0.000000
1.880000,16,1543.111235,1478.246859,0.000000
1.900000,16,1513.546298,1478.246859,0.000000
1.920000,16,1483.981361,1478.246859,0.000000
1.940000,16,1454.416423,1478.246859,0.000000
1.960000,16,1424.851486,1478.246859,0.000000
1.980000,16,1395.286549,1478.246859,0.000000
2.000000,16,1365.721612,1478.246859,0.000000
2.020000,16,1336.156675,1478.246859,0.000000
2.040000,16,1306.591737,1478.246859,0.000000
2.060000,16,1277.026800,1478.246859,0.000000
2.080000,16,1247.461863,1478.246859,0.000000
2.100000,16,1217.896926,1478.246859,0.000000
2.120000,16,1188.331989,1478.246859,0.000000
2.140000,16,1158.767052,1478.246859,0.000000
2.160000,16,1129.202114,1478.246859,0.000000
2.180000,16,1099.637177,1478.246859,0.000000
2.200000,16,1070.072240,1478.246859,0.000000
2.220000,16,1040.507303,1478.246859,0.000000
2.240000,16,1010.942366,1478.246859,0.000000
2.260000,16,981.377428,1478.246859,0.000000
2.280000,16,951.812491,1478.246859,0.000000
2.300000,16,922.247554,1478.246859,0.000000
2.320000,16,892.682617,1478.246859,0.000000
2.340000,16,863.117680,1478.246859,0.000000
2.360000,16,833.552743,1478.246859,0.000000
2.380000,16,803.987805,1478.246859,0.000000
2.400000,16,774.422868,1478.246859,0.000000
2.420000,20,744.858968,1477.510739,-348.468593
2.440000,20,715.488420,1454.045367,-1998.068593
2.460000,20,686.917100,1397.587996,-3647.668593
2.480000,20,659.804847,1308.138624,-5297.268593
2.500000,20,634.811501,1185.697252,-6946.868593
2.520000,24,612.595867,1031.000000,-8248.000000
2.540000,24,593.625467,866.040000,-8248.000000
2.560000,24,577.954267,701.080000,-8248.000000
2.580000,24,565.582267,536.120000,-8248.000000
2.600000,28,556.496970,374.909091,-7498.181818
2.620000,28,550.398448,239.941818,-5998.545455
2.640000,28,546.699345,134.967273,-4498.909091
2.660000,28,544.799806,59.985455,-2999.272727
2.680000,28,544.099976,14.996364,-1499.636364
2.700000,0,544.000000,0.000000,0.000000
