t,whenRes,ms.x,ms.v,ms.a
1.200000,4,544.000000,0.000000,0.000000
1.220000,4,544.309300,46.395000,4639.500000
1.240000,4,546.474400,185.580000,9279.000000
1.260000,8,552.312438,405.956250,11598.750000
1.280000,8,562.751313,637.931250,11598.750000
1.300000,8,577.829688,869.906250,11598.750000
1.320000,8,597.547563,1101.881250,11598.750000
1.340000,8,621.904938,1333.856250,11598.750000
1.360000,8,650.901813,1565.831250,11598.750000
1.380000,12,684.523004,1791.586105,9899.975135
1.400000,12,722.025421,1943.190608,5260.475135
1.420000,12,761.632028,2002.005111,620.975135
1.440000,16,801.688012,2002.836257,0.000000
1.460000,16,841.744737,2002.836257,0.000000
1.480000,16,881.801462,2002.836257,0.000000
1.500000,16,921.858187,2002.836257,0.000000
1.520000,16,961.914912,2002.836257,0.000000
1.540000,16,1001.971637,2002.836257,0.000000
1.560000,16,1042.028363,2002.836257,0.000000
1.580000,16,1082.085088,2002.836257,0.000000
1.600000,16,1122.141813,2002.836257,0.000000
1.620000,16,1162.198538,2002.836257,0.000000
1.640000,16,1202.255263,2002.836257,0.000000
1.660000,16,1242.311988,2002.836257,0.000000
1.680000,20,1282.367972,2002.005111,-620.975135
1.700000,20,1321.974579,1943.190608,-5260.475135
1.720000,20,1359.476996,1791.586105,-9899.975135
1.740000,24,1393.098188,1565.831250,-11598.750000
1.760000,24,1422.095063,1333.856250,-11598.750000
1.780000,24,1446.452438,1101.881250,-11598.750000
1.800000,24,1466.170313,869.906250,-11598.750000
1.820000,24,1481.248688,637.931250,-11598.750000
1.840000,24,1491.687563,405.956250,-11598.750000
1.860000,28,1497.525600,185.580000,-9279.000000
1.880000,28,1499.690700,46.395000,-4639.500000
1.900000,0,1500.000000,0.000000,0.000000
