t,whenRes,ms.x,ms.v,ms.a
1.200000,4,544.000000,0.000000,0.000000
1.220000,4,544.206200,30.930000,3093.000000
1.240000,4,545.649600,123.720000,6186.000000
1.260000,4,549.567400,278.370000,9279.000000
1.280000,8,557.196800,494.880000,12372.000000
1.300000,8,569.568800,742.320000,12372.000000
1.320000,12,586.885753,987.668139,11613.631770
1.340000,12,608.778553,1192.447441,8864.298437
1.360000,12,634.217073,1342.240076,6114.965103
1.380000,12,662.101579,1437.046045,3365.631770
1.400000,12,691.332337,1476.865347,616.298437
1.420000,16,720.895210,1478.246859,0.000000
1.440000,16,750.460147,1478.246859,0.000000
1.460000,16,780.025084,1478.246859,0.000000
1.480000,16,809.590021,1478.246859,0.000000
1.500000,16,839.154958,1478.246859,0.000000
1.520000,16,868.719896,1478.246859,0.000000
1.540000,16,898.284833,1478.246859,0.000000
1.560000,16,927.849770,1478.246859,0.000000
1.580000,16,957.414707,1478.246859,0.000000
1.600000,16,986.979644,1478.246859,0.000000
1.620000,16,1016.544582,1478.246859,0.000000
1.640000,16,1046.109519,1478.246859,0.000000
1.660000,16,1075.674456,1478.246859,0.000000
1.680000,16,1105.239393,1478.246859,0.000000
1.700000,16,1134.804330,1478.246859,0.000000
1.720000,16,1164.369268,1478.246859,0.000000
1.740000,16,1193.934205,1478.246859,0.000000
1.760000,16,1223.499142,1478.246859,0.000000
1.780000,16,1253.064079,1478.246859,0.000000
1.800000,16,1282.629016,1478.246859,0.000000
1.820000,16,1312.193953,1478.246859,0.000000
1.840000,16,1341.758891,1478.246859,0.000000
1.860000,16,1371.323828,1478.246859,0.000000
1.880000,16,1400.888765,1478.246859,0.000000
1.900000,16,1430.453702,1478.246859,0.000000
1.920000,16,1460.018639,1478.246859,0.000000
1.940000,16,1489.583577,1478.246859,0.000000
1.960000,16,1519.148514,1478.246859,0.000000
1.980000,16,1548.713451,1478.246859,0.000000
2.000000,16,1578.278388,1478.246859,0.000000
2.020000,16,1607.843325,1478.246859,0.000000
2.040000,16,1637.408263,1478.246859,0.000000
2.060000,16,1666.973200,1478.246859,0.000000
2.080000,16,1696.538137,1478.246859,0.000000
2.100000,16,1726.103074,1478.246859,0.000000
2.120000,16,1755.668011,1478.246859,0.000000
2.140000,16,1785.232948,1478.246859,0.000000
2.160000,16,1814.797886,1478.246859,0.000000
2.180000,16,1844.362823,1478.246859,0.000000
2.200000,16,1873.927760,1478.246859,0.000000
2.220000,16,1903.492697,1478.246859,0.000000
2.240000,16,1933.057634,1478.246859,0.000000
2.260000,16,1962.622572,1478.246859,0.000000
2.280000,16,1992.187509,1478.246859,0.000000
2.300000,16,2021.752446,1478.246859,0.000000
2.320000,16,2051.317383,1478.246859,0.000000
2.340000,16,2080.882320,1478.246859,0.000000
2.360000,16,2110.447257,1478.246859,0.000000
2.380000,16,2140.012195,1478.246859,0.000000
2.400000,16,2169.577132,1478.246859,0.000000
2.420000,20,2199.141032,1477.510739,-348.468593
2.440000,20,2228.511580,1454.045367,-1998.068593
2.460000,20,2257.082900,1397.587996,-3647.668593
2.480000,20,2284.195153,1308.138624,-5297.268593
2.500000,20,2309.188499,1185.697252,-6946.868593
2.520000,24,2331.404133,1031.000000,-8248.000000
2.540000,24,2350.374533,866.040000,-8248.000000
2.560000,24,2366.045733,701.080000,-8248.000000
2.580000,24,2378.417733,536.120000,-8248.000000
2.600000,28,2387.503030,374.909091,-7498.181818
2.620000,28,2393.601552,239.941818,-5998.545455
2.640000,28,2397.300655,134.967273,-4498.909091
2.660000,28,2399.200194,59.985455,-2999.272727
2.680000,28,2399.900024,14.996364,-1499.636364
2.700000,0,2400.000000,0.000000,0.000000
